,ki,kd,time
"(0.36, 0.4)",0.36,0.4,15.069985628128052
"(0.36, 0.5)",0.36,0.5,15.030978441238403
"(0.36, 0.6000000000000001)",0.36,0.6000000000000001,15.031243085861206
"(0.36, 0.7000000000000001)",0.36,0.7000000000000001,15.07939338684082
"(0.36, 0.8)",0.36,0.8,15.07957148551941
"(0.36, 0.9)",0.36,0.9,15.02431869506836
"(0.37, 0.0)",0.37,0.0,15.026857614517212
"(0.37, 0.1)",0.37,0.1,15.078439474105835
"(0.37, 0.2)",0.37,0.2,15.092658042907715
"(0.37, 0.30000000000000004)",0.37,0.30000000000000004,15.056412935256958
"(0.37, 0.4)",0.37,0.4,15.054168939590454
"(0.37, 0.5)",0.37,0.5,15.03335690498352
"(0.37, 0.6000000000000001)",0.37,0.6000000000000001,15.08393120765686
"(0.37, 0.7000000000000001)",0.37,0.7000000000000001,15.046144962310791
"(0.37, 0.8)",0.37,0.8,15.026881456375122
"(0.37, 0.9)",0.37,0.9,15.098070621490479
"(0.38, 0.0)",0.38,0.0,15.06564998626709
"(0.38, 0.1)",0.38,0.1,15.080577850341797
"(0.38, 0.2)",0.38,0.2,15.073479175567627
"(0.38, 0.30000000000000004)",0.38,0.30000000000000004,15.058866024017334
"(0.38, 0.4)",0.38,0.4,15.076149940490723
"(0.38, 0.5)",0.38,0.5,15.048896074295044
"(0.38, 0.6000000000000001)",0.38,0.6000000000000001,15.082658052444458
"(0.38, 0.7000000000000001)",0.38,0.7000000000000001,15.057773113250732
"(0.38, 0.8)",0.38,0.8,15.043817520141602
"(0.38, 0.9)",0.38,0.9,15.151734828948975
"(0.39, 0.0)",0.39,0.0,15.008220195770264
"(0.39, 0.1)",0.39,0.1,15.057830333709717
"(0.39, 0.2)",0.39,0.2,15.075841188430786
"(0.39, 0.30000000000000004)",0.39,0.30000000000000004,15.047392845153809
"(0.39, 0.4)",0.39,0.4,15.061504602432251
"(0.39, 0.5)",0.39,0.5,15.043708801269531
"(0.39, 0.6000000000000001)",0.39,0.6000000000000001,15.055667400360107
"(0.39, 0.7000000000000001)",0.39,0.7000000000000001,15.063625812530518
"(0.39, 0.8)",0.39,0.8,15.047267436981201
"(0.39, 0.9)",0.39,0.9,15.034243106842041
"(0.4, 0.0)",0.4,0.0,15.05539608001709
"(0.4, 0.1)",0.4,0.1,15.04332947731018
"(0.4, 0.2)",0.4,0.2,15.049636363983154
"(0.4, 0.30000000000000004)",0.4,0.30000000000000004,15.08271598815918
